celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,eliminated_week,withdrew,avg_score_w1,total_score_w1,pool_total_score_w1,judge_pct_w1,avg_score_w10,total_score_w10,pool_total_score_w10,judge_pct_w10,avg_score_w11,total_score_w11,pool_total_score_w11,judge_pct_w11,avg_score_w2,total_score_w2,pool_total_score_w2,judge_pct_w2,avg_score_w3,total_score_w3,pool_total_score_w3,judge_pct_w3,avg_score_w4,total_score_w4,pool_total_score_w4,judge_pct_w4,avg_score_w5,total_score_w5,pool_total_score_w5,judge_pct_w5,avg_score_w6,total_score_w6,pool_total_score_w6,judge_pct_w6,avg_score_w7,total_score_w7,pool_total_score_w7,judge_pct_w7,avg_score_w8,total_score_w8,pool_total_score_w8,judge_pct_w8,avg_score_w9,total_score_w9,pool_total_score_w9,judge_pct_w9,age_group,origin_type
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,8.0,6.0,8.0,,9.0,10.0,10.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,9.0,9.0,9.5,,9.3333,9.6666,9.6666,,,,,,,,,,,,,,,False,7.333333333333333,22.0,195.0,0.11282051282051282,,,0.0,,,,0.0,,9.666666666666666,29.0,200.0,0.145,9.0,27.0,182.0,0.14835164835164835,8.666666666666666,26.0,158.0,0.16455696202531644,10.0,30.0,151.0,0.1986754966887417,10.0,30.0,133.0,0.22556390977443608,9.166666666666666,27.5,102.0,0.2696078431372549,9.5555,28.6665,84.3329,0.33992071896021603,,,0.0,,Adult,Domestic
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,7.0,7.0,7.0,,7.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,8.0,7.0,8.0,,7.0,7.0,6.5,,9.0,9.0,8.6666,,,,,,,,,,,,,,,False,7.0,21.0,195.0,0.1076923076923077,,,0.0,,,,0.0,,7.666666666666667,23.0,200.0,0.115,6.333333333333333,19.0,182.0,0.1043956043956044,8.0,24.0,158.0,0.1518987341772152,7.666666666666667,23.0,151.0,0.152317880794702,7.666666666666667,23.0,133.0,0.17293233082706766,6.833333333333333,20.5,102.0,0.20098039215686275,8.888866666666667,26.666600000000003,84.3329,0.31620636785880724,,,0.0,,Middle-Aged,Domestic
Giselle Fernandez,Jonathan Roberts,Media/Writing,,Mexico,44,2,Eliminated Week 3,8,7.0,8.0,8.0,,8.0,8.0,8.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,3.0,False,7.666666666666667,23.0,195.0,0.11794871794871795,,,0.0,,,,0.0,,8.0,24.0,200.0,0.12,7.333333333333333,22.0,182.0,0.12087912087912088,0.0,0.0,158.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,84.3329,0.0,,,0.0,,Middle-Aged,International
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4.0,4.0,4.0,,6.0,5.0,5.0,,6.0,4.0,4.0,,4.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,4.0,False,4.0,12.0,195.0,0.06153846153846154,,,0.0,,,,0.0,,5.333333333333333,16.0,200.0,0.08,4.666666666666667,14.0,182.0,0.07692307692307693,2.6666666666666665,8.0,158.0,0.05063291139240506,0.0,0.0,151.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,84.3329,0.0,,,0.0,,Adult,Domestic
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,9.5,9.0,9.0,,9.6666,9.6666,9.6666,,,,,,,,,,,,,,,False,8.0,24.0,195.0,0.12307692307692308,,,0.0,,,,0.0,,9.0,27.0,200.0,0.135,9.0,27.0,182.0,0.14835164835164835,9.333333333333334,28.0,158.0,0.17721518987341772,9.0,27.0,151.0,0.17880794701986755,10.0,30.0,133.0,0.22556390977443608,9.166666666666666,27.5,102.0,0.2696078431372549,9.6666,28.9998,84.3329,0.34387291318097685,,,0.0,,Adult,Domestic
Kenny Mayne,Andrea Hale,Media/Writing,Washington,United States,46,2,Eliminated Week 1,10,4.0,5.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,1.0,False,4.333333333333333,13.0,195.0,0.06666666666666667,,,0.0,,,,0.0,,0.0,0.0,200.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,84.3329,0.0,,,0.0,,Middle-Aged,Domestic
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,5.0,6.0,6.0,,7.0,7.0,7.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3.0,False,5.666666666666667,17.0,212.0,0.08018867924528301,0.0,0.0,59.333200000000005,0.0,,,0.0,,7.0,21.0,230.0,0.09130434782608696,7.333333333333333,22.0,207.0,0.10628019323671498,0.0,0.0,198.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,88.5,0.0,Middle-Aged,Domestic
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,6.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,4.0,False,7.333333333333333,22.0,212.0,0.10377358490566038,0.0,0.0,59.333200000000005,0.0,,,0.0,,8.0,24.0,230.0,0.10434782608695652,9.0,27.0,207.0,0.13043478260869565,8.0,24.0,198.0,0.12121212121212122,0.0,0.0,181.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,88.5,0.0,Middle-Aged,Domestic
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,6.0,6.0,7.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,7.0,7.0,,9.0,9.0,9.0,,8.5,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,8.0,False,6.333333333333333,19.0,212.0,0.08962264150943396,0.0,0.0,59.333200000000005,0.0,,,0.0,,8.666666666666666,26.0,230.0,0.11304347826086956,9.0,27.0,207.0,0.13043478260869565,8.0,24.0,198.0,0.12121212121212122,9.0,27.0,181.0,0.14917127071823205,7.666666666666667,23.0,118.0,0.19491525423728814,9.0,27.0,135.0,0.2,8.833333333333334,26.5,109.0,0.24311926605504589,0.0,0.0,88.5,0.0,Young,Domestic
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,7.0,7.0,7.0,,10.0,9.0,10.0,,8.0,6.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,8.0,8.0,8.0,,9.5,9.0,10.0,,9.5,8.5,9.0,,9.5,10.0,10.0,,0.0,0.0,0.0,,,,,,,False,7.0,21.0,212.0,0.09905660377358491,0.0,0.0,59.333200000000005,0.0,,,0.0,,9.666666666666666,29.0,230.0,0.12608695652173912,7.333333333333333,22.0,207.0,0.10628019323671498,9.0,27.0,198.0,0.13636363636363635,8.333333333333334,25.0,181.0,0.13812154696132597,8.0,24.0,118.0,0.2033898305084746,9.5,28.5,135.0,0.2111111111111111,9.0,27.0,109.0,0.24770642201834864,9.833333333333334,29.5,88.5,0.3333333333333333,Adult,Domestic
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,9.0,8.0,9.0,,7.0,6.0,8.0,,8.0,6.0,8.0,,10.0,9.0,10.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.5,9.0,9.5,,9.5,9.0,10.0,,10.0,9.5,10.0,,10.0,10.0,9.6666,,,,,,,False,8.666666666666666,26.0,212.0,0.12264150943396226,9.888866666666667,29.666600000000003,59.333200000000005,0.5,,,0.0,,7.0,21.0,230.0,0.09130434782608696,7.333333333333333,22.0,207.0,0.10628019323671498,9.666666666666666,29.0,198.0,0.14646464646464646,9.0,27.0,181.0,0.14917127071823205,9.333333333333334,28.0,118.0,0.23728813559322035,9.333333333333334,28.0,135.0,0.2074074074074074,9.5,28.5,109.0,0.26146788990825687,9.833333333333334,29.5,88.5,0.3333333333333333,Adult,Domestic
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,10.0,9.5,9.0,,8.5,9.0,9.5,,9.5,10.0,10.0,,10.0,9.6666,10.0,,,,,,,False,8.0,24.0,212.0,0.11320754716981132,9.888866666666667,29.666600000000003,59.333200000000005,0.5,,,0.0,,8.0,24.0,230.0,0.10434782608695652,6.333333333333333,19.0,207.0,0.09178743961352658,8.0,24.0,198.0,0.12121212121212122,9.0,27.0,181.0,0.14917127071823205,8.333333333333334,25.0,118.0,0.211864406779661,9.5,28.5,135.0,0.2111111111111111,9.0,27.0,109.0,0.24770642201834864,9.833333333333334,29.5,88.5,0.3333333333333333,Adult,Domestic
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,7.0,5.0,6.0,,8.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,2.0,False,6.0,18.0,212.0,0.08490566037735849,0.0,0.0,59.333200000000005,0.0,,,0.0,,7.333333333333333,22.0,230.0,0.09565217391304348,0.0,0.0,207.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,88.5,0.0,Adult,Domestic
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,7.0,7.0,8.0,,7.0,8.0,8.0,,7.0,7.0,8.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,5.0,False,7.333333333333333,22.0,212.0,0.10377358490566038,0.0,0.0,59.333200000000005,0.0,,,0.0,,7.666666666666667,23.0,230.0,0.1,7.333333333333333,22.0,207.0,0.10628019323671498,9.333333333333334,28.0,198.0,0.1414141414141414,9.0,27.0,181.0,0.14917127071823205,0.0,0.0,118.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,88.5,0.0,Young,Domestic
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,5.0,5.0,5.0,,7.0,7.0,7.0,,8.0,9.0,8.0,,6.0,7.0,7.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,True,5.0,15.0,212.0,0.07075471698113207,0.0,0.0,59.333200000000005,0.0,,,0.0,,7.0,21.0,230.0,0.09130434782608696,8.333333333333334,25.0,207.0,0.12077294685990338,6.666666666666667,20.0,198.0,0.10101010101010101,8.0,24.0,181.0,0.13259668508287292,0.0,0.0,118.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,88.5,0.0,Adult,Domestic
Jerry Springer,Kym Johnson,Tv Personality,,England,62,3,Eliminated Week 7,5,5.0,5.0,6.0,,7.0,6.0,6.0,,7.0,7.0,7.0,,7.0,7.0,8.0,,8.0,8.0,8.0,,7.0,6.0,5.0,,7.5,8.0,7.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,7.0,False,5.333333333333333,16.0,212.0,0.07547169811320754,0.0,0.0,59.333200000000005,0.0,,,0.0,,6.333333333333333,19.0,230.0,0.08260869565217391,7.0,21.0,207.0,0.10144927536231885,7.333333333333333,22.0,198.0,0.1111111111111111,8.0,24.0,181.0,0.13259668508287292,6.0,18.0,118.0,0.15254237288135594,7.666666666666667,23.0,135.0,0.17037037037037037,0.0,0.0,109.0,0.0,0.0,0.0,88.5,0.0,Senior,International
Tucker Carlson,Elena Grinenko,Tv Personality,California,United States,37,3,Eliminated Week 1,11,5.0,4.0,3.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,1.0,False,4.0,12.0,212.0,0.05660377358490566,0.0,0.0,59.333200000000005,0.0,,,0.0,,0.0,0.0,230.0,0.0,0.0,0.0,207.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,88.5,0.0,Adult,Domestic
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,6.0,5.0,6.0,,7.0,7.0,7.0,,7.0,6.0,7.0,,6.0,5.0,5.0,,6.0,6.0,6.0,,7.0,6.0,6.0,,7.5,7.5,7.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,7.0,False,5.666666666666667,17.0,206.0,0.0825242718446602,0.0,0.0,86.33290000000001,0.0,,,0.0,,7.0,21.0,245.0,0.08571428571428572,6.666666666666667,20.0,218.0,0.09174311926605505,5.333333333333333,16.0,190.0,0.08421052631578947,6.0,18.0,176.0,0.10227272727272728,6.333333333333333,19.0,170.0,0.11176470588235295,7.5,22.5,154.5,0.14563106796116504,0.0,0.0,125.5,0.0,0.0,0.0,118.5,0.0,Middle-Aged,Domestic
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,7.0,7.0,7.0,,7.0,8.0,7.0,,8.0,8.0,8.0,,7.0,9.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,7.5,8.0,,9.5,10.0,9.5,,0.0,0.0,0.0,,,,,,9.0,False,7.0,21.0,206.0,0.10194174757281553,0.0,0.0,86.33290000000001,0.0,,,0.0,,7.333333333333333,22.0,245.0,0.08979591836734693,8.0,24.0,218.0,0.11009174311926606,8.0,24.0,190.0,0.12631578947368421,8.0,24.0,176.0,0.13636363636363635,8.0,24.0,170.0,0.1411764705882353,9.0,27.0,154.5,0.17475728155339806,7.833333333333333,23.5,125.5,0.18725099601593626,9.666666666666666,29.0,118.5,0.24472573839662448,Middle-Aged,Domestic
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,6.0,5.0,5.0,,6.0,6.0,6.0,,6.0,5.0,5.0,,6.0,4.0,5.0,,4.0,5.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,5.0,False,5.333333333333333,16.0,206.0,0.07766990291262135,0.0,0.0,86.33290000000001,0.0,,,0.0,,6.0,18.0,245.0,0.07346938775510205,5.333333333333333,16.0,218.0,0.07339449541284404,5.0,15.0,190.0,0.07894736842105263,4.333333333333333,13.0,176.0,0.07386363636363637,0.0,0.0,170.0,0.0,0.0,0.0,154.5,0.0,0.0,0.0,125.5,0.0,0.0,0.0,118.5,0.0,Middle-Aged,Domestic
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,7.0,8.0,8.0,,9.0,9.0,9.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,9.0,10.0,9.0,,9.0,9.0,10.0,,10.0,9.5,10.0,,9.0,8.5,9.0,,10.0,10.0,10.0,,9.6666,9.0,9.6666,,,,,,,False,7.666666666666667,23.0,206.0,0.11165048543689321,9.444400000000002,28.333200000000005,86.33290000000001,0.3281854310465651,,,0.0,,9.0,27.0,245.0,0.11020408163265306,7.0,21.0,218.0,0.0963302752293578,7.0,21.0,190.0,0.11052631578947368,9.333333333333334,28.0,176.0,0.1590909090909091,9.333333333333334,28.0,170.0,0.16470588235294117,9.833333333333334,29.5,154.5,0.19093851132686085,8.833333333333334,26.5,125.5,0.21115537848605578,10.0,30.0,118.5,0.25316455696202533,Adult,Domestic
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,7.0,7.0,7.0,,8.0,9.0,9.0,,7.0,8.0,8.0,,9.0,8.0,9.0,,10.0,10.0,10.0,,9.0,9.0,10.0,,9.0,8.5,9.5,,10.0,9.0,10.0,,10.0,9.5,10.0,,9.6666,9.6666,10.0,,,,,,,False,7.0,21.0,206.0,0.10194174757281553,9.777733333333334,29.3332,86.33290000000001,0.33976850076853665,,,0.0,,8.666666666666666,26.0,245.0,0.10612244897959183,7.666666666666667,23.0,218.0,0.10550458715596331,8.666666666666666,26.0,190.0,0.1368421052631579,10.0,30.0,176.0,0.17045454545454544,9.333333333333334,28.0,170.0,0.16470588235294117,9.0,27.0,154.5,0.17475728155339806,9.666666666666666,29.0,125.5,0.23107569721115537,9.833333333333334,29.5,118.5,0.2489451476793249,Young,Domestic
