Season,Week,Rule_Used,Contestant,Judge_Score,Est_Fan_Vote,Uncertainty,Status
2,2,RANK,Giselle Fernandez,24.0,0.13,0.0793,Safe
2,2,RANK,Master P,16.0,0.1426,0.0773,Safe
2,2,RANK,Drew Lachey,27.0,0.1234,0.0734,Safe
2,3,RANK,Tia Carrere,26.0,0.0933,0.0632,Safe
2,3,RANK,George Hamilton,22.0,0.1709,0.0872,Safe
2,3,RANK,Lisa Rinna,25.0,0.1151,0.08,Safe
2,3,RANK,Stacy Keibler,27.0,0.0948,0.0698,Safe
2,3,RANK,Jerry Rice,19.0,0.1754,0.1007,Safe
2,3,RANK,Giselle Fernandez,22.0,0.0314,0.0252,Eliminated
2,3,RANK,Master P,14.0,0.1949,0.0828,Safe
2,3,RANK,Drew Lachey,27.0,0.1243,0.0861,Safe
2,4,RANK,Tia Carrere,25.0,0.1465,0.096,Safe
2,4,RANK,George Hamilton,21.0,0.2006,0.0923,Safe
2,4,RANK,Lisa Rinna,26.0,0.1678,0.1164,Safe
2,4,RANK,Stacy Keibler,26.0,0.1485,0.1111,Safe
2,4,RANK,Jerry Rice,24.0,0.1276,0.0974,Safe
2,4,RANK,Master P,8.0,0.0723,0.0512,Eliminated
2,4,RANK,Drew Lachey,28.0,0.1366,0.1083,Safe
2,5,RANK,Tia Carrere,22.0,0.0981,0.0691,Eliminated
2,5,RANK,George Hamilton,24.0,0.1489,0.0921,Safe
2,5,RANK,Lisa Rinna,25.0,0.1792,0.1299,Safe
2,5,RANK,Stacy Keibler,30.0,0.1621,0.1177,Safe
2,5,RANK,Jerry Rice,23.0,0.2177,0.1217,Safe
2,5,RANK,Drew Lachey,27.0,0.194,0.1466,Safe
2,6,RANK,George Hamilton,23.0,0.0881,0.07,Eliminated
2,6,RANK,Lisa Rinna,27.0,0.1306,0.0958,Safe
2,6,RANK,Stacy Keibler,30.0,0.1413,0.1009,Safe
2,6,RANK,Jerry Rice,23.0,0.3426,0.1672,Safe
2,6,RANK,Drew Lachey,30.0,0.2973,0.1902,Safe
2,7,RANK,Lisa Rinna,26.5,0.0994,0.0751,Eliminated
2,7,RANK,Stacy Keibler,27.5,0.2988,0.2126,Safe
2,7,RANK,Jerry Rice,20.5,0.375,0.1847,Safe
2,7,RANK,Drew Lachey,27.5,0.2268,0.1705,Safe
2,8,RANK,Stacy Keibler,28.6665,0.4968,0.1969,Safe
2,8,RANK,Jerry Rice,26.666600000000003,0.1843,0.1521,Eliminated
2,8,RANK,Drew Lachey,28.9998,0.319,0.212,Safe
3,1,PERCENT,Harry Hamlin,17.0,0.098,0.0683,Safe
3,1,PERCENT,Vivica A. Fox,22.0,0.0909,0.0611,Safe
3,1,PERCENT,Monique Coleman,19.0,0.0894,0.0576,Safe
3,1,PERCENT,Joey Lawrence,21.0,0.1054,0.0729,Safe
3,1,PERCENT,Mario Lopez,26.0,0.0885,0.0607,Safe
3,1,PERCENT,Emmitt Smith,24.0,0.1152,0.0681,Safe
3,1,PERCENT,Shanna Moakler,18.0,0.1003,0.0697,Safe
3,1,PERCENT,Willa Ford,22.0,0.0855,0.0564,Safe
3,1,PERCENT,Sara Evans,15.0,0.1058,0.0735,Safe
3,1,PERCENT,Jerry Springer,16.0,0.0965,0.0616,Safe
3,1,PERCENT,Tucker Carlson,12.0,0.0245,0.0172,Eliminated
3,2,PERCENT,Harry Hamlin,21.0,0.1143,0.0634,Safe
3,2,PERCENT,Vivica A. Fox,24.0,0.1367,0.0821,Safe
3,2,PERCENT,Monique Coleman,26.0,0.0942,0.0589,Safe
3,2,PERCENT,Joey Lawrence,29.0,0.0986,0.0743,Safe
3,2,PERCENT,Mario Lopez,21.0,0.108,0.0596,Safe
3,2,PERCENT,Emmitt Smith,24.0,0.0916,0.061,Safe
3,2,PERCENT,Shanna Moakler,22.0,0.0168,0.013,Eliminated
3,2,PERCENT,Willa Ford,23.0,0.1057,0.0786,Safe
3,2,PERCENT,Sara Evans,21.0,0.1109,0.0724,Safe
3,2,PERCENT,Jerry Springer,19.0,0.1233,0.0711,Safe
3,3,PERCENT,Harry Hamlin,22.0,0.0201,0.015,Eliminated
3,3,PERCENT,Vivica A. Fox,27.0,0.1027,0.0905,Safe
3,3,PERCENT,Monique Coleman,27.0,0.1097,0.0774,Safe
3,3,PERCENT,Joey Lawrence,22.0,0.1203,0.0604,Safe
3,3,PERCENT,Mario Lopez,22.0,0.1416,0.0867,Safe
3,3,PERCENT,Emmitt Smith,19.0,0.1119,0.0656,Safe
3,3,PERCENT,Willa Ford,22.0,0.1244,0.0719,Safe
3,3,PERCENT,Sara Evans,25.0,0.1681,0.0971,Safe
3,3,PERCENT,Jerry Springer,21.0,0.1014,0.0577,Safe
3,4,PERCENT,Vivica A. Fox,24.0,0.0233,0.0177,Eliminated
3,4,PERCENT,Monique Coleman,24.0,0.1524,0.0831,Safe
3,4,PERCENT,Joey Lawrence,27.0,0.1201,0.0696,Safe
3,4,PERCENT,Mario Lopez,29.0,0.151,0.091,Safe
3,4,PERCENT,Emmitt Smith,24.0,0.1455,0.0998,Safe
3,4,PERCENT,Willa Ford,28.0,0.138,0.0853,Safe
3,4,PERCENT,Sara Evans,20.0,0.1555,0.073,Safe
3,4,PERCENT,Jerry Springer,22.0,0.1141,0.054,Safe
3,5,PERCENT,Monique Coleman,27.0,0.1658,0.1159,Safe
3,5,PERCENT,Joey Lawrence,25.0,0.1589,0.0767,Safe
3,5,PERCENT,Mario Lopez,27.0,0.1774,0.1066,Safe
3,5,PERCENT,Emmitt Smith,27.0,0.1537,0.1002,Safe
3,5,PERCENT,Willa Ford,27.0,0.0229,0.0182,Eliminated
3,5,PERCENT,Sara Evans,24.0,0.1521,0.0776,Safe
3,5,PERCENT,Jerry Springer,24.0,0.1693,0.0909,Safe
3,6,PERCENT,Monique Coleman,23.0,0.1753,0.1193,Safe
3,6,PERCENT,Joey Lawrence,24.0,0.2344,0.1332,Safe
3,6,PERCENT,Mario Lopez,28.0,0.1873,0.1483,Safe
3,6,PERCENT,Emmitt Smith,25.0,0.1699,0.1171,Safe
3,6,PERCENT,Jerry Springer,18.0,0.2332,0.1523,Safe
3,7,PERCENT,Monique Coleman,27.0,0.2105,0.1202,Safe
3,7,PERCENT,Joey Lawrence,28.5,0.196,0.1156,Safe
3,7,PERCENT,Mario Lopez,28.0,0.3035,0.1457,Safe
3,7,PERCENT,Emmitt Smith,28.5,0.2243,0.1139,Safe
3,7,PERCENT,Jerry Springer,23.0,0.0657,0.0447,Eliminated
3,8,PERCENT,Monique Coleman,26.5,0.0698,0.051,Eliminated
3,8,PERCENT,Joey Lawrence,27.0,0.1936,0.0932,Safe
3,8,PERCENT,Mario Lopez,28.5,0.2997,0.1577,Safe
3,8,PERCENT,Emmitt Smith,27.0,0.4369,0.1938,Safe
3,9,PERCENT,Joey Lawrence,29.5,0.1401,0.0864,Eliminated
3,9,PERCENT,Mario Lopez,29.5,0.5071,0.1777,Safe
3,9,PERCENT,Emmitt Smith,29.5,0.3528,0.1518,Safe
3,10,PERCENT,Mario Lopez,29.666600000000003,0.7277,0.1513,Safe
3,10,PERCENT,Emmitt Smith,29.666600000000003,0.2723,0.1513,Eliminated
4,1,PERCENT,John Ratzenberger,17.0,0.0907,0.065,Safe
4,1,PERCENT,Ian Ziering,21.0,0.0758,0.0571,Safe
4,1,PERCENT,Clyde Drexler,16.0,0.0862,0.067,Safe
4,1,PERCENT,Laila Ali,23.0,0.1108,0.076,Safe
4,1,PERCENT,Apolo Anton Ohno,21.0,0.1013,0.0816,Safe
4,1,PERCENT,Shandi Finnessey,19.0,0.0999,0.0658,Safe
4,1,PERCENT,Paulina Porizkova,19.0,0.0712,0.0515,Safe
4,1,PERCENT,Heather Mills,18.0,0.096,0.0719,Safe
4,1,PERCENT,Billy Ray Cyrus,13.0,0.0766,0.0563,Safe
4,1,PERCENT,Joey Fatone,24.0,0.093,0.0709,Safe
4,1,PERCENT,Leeza Gibbons,15.0,0.0985,0.0689,Safe
4,2,PERCENT,John Ratzenberger,21.0,0.0842,0.0527,Safe
4,2,PERCENT,Ian Ziering,22.0,0.0946,0.0644,Safe
4,2,PERCENT,Clyde Drexler,18.0,0.1113,0.0694,Safe
4,2,PERCENT,Laila Ali,27.0,0.0988,0.0621,Safe
4,2,PERCENT,Apolo Anton Ohno,26.0,0.0913,0.0669,Safe
4,2,PERCENT,Shandi Finnessey,20.0,0.095,0.0624,Safe
4,2,PERCENT,Paulina Porizkova,21.0,0.0134,0.0114,Eliminated
4,2,PERCENT,Heather Mills,24.0,0.0991,0.0544,Safe
4,2,PERCENT,Billy Ray Cyrus,21.0,0.1043,0.0584,Safe
4,2,PERCENT,Joey Fatone,24.0,0.1061,0.0666,Safe
4,2,PERCENT,Leeza Gibbons,21.0,0.1018,0.0568,Safe
4,3,PERCENT,John Ratzenberger,20.0,0.1177,0.0735,Safe
4,3,PERCENT,Ian Ziering,24.0,0.1314,0.0806,Safe
4,3,PERCENT,Clyde Drexler,16.0,0.1274,0.0614,Safe
4,3,PERCENT,Laila Ali,21.0,0.1079,0.0636,Safe
4,3,PERCENT,Apolo Anton Ohno,23.0,0.0941,0.0798,Safe
4,3,PERCENT,Shandi Finnessey,21.0,0.0148,0.0116,Eliminated
4,3,PERCENT,Heather Mills,24.0,0.1073,0.0763,Safe
4,3,PERCENT,Billy Ray Cyrus,21.0,0.1008,0.0596,Safe
4,3,PERCENT,Joey Fatone,24.0,0.0933,0.0637,Safe
4,3,PERCENT,Leeza Gibbons,24.0,0.1052,0.0653,Safe
4,4,PERCENT,John Ratzenberger,16.0,0.1266,0.0781,Safe
4,4,PERCENT,Ian Ziering,24.0,0.1265,0.0921,Safe
4,4,PERCENT,Clyde Drexler,15.0,0.1422,0.0915,Safe
4,4,PERCENT,Laila Ali,21.0,0.1064,0.0679,Safe
4,4,PERCENT,Apolo Anton Ohno,26.0,0.117,0.0732,Safe
4,4,PERCENT,Heather Mills,23.0,0.1124,0.0727,Safe
4,4,PERCENT,Billy Ray Cyrus,21.0,0.1113,0.0891,Safe
4,4,PERCENT,Joey Fatone,28.0,0.1319,0.1023,Safe
4,4,PERCENT,Leeza Gibbons,16.0,0.0258,0.0179,Eliminated
4,5,PERCENT,John Ratzenberger,18.0,0.1369,0.0871,Safe
4,5,PERCENT,Ian Ziering,24.0,0.1624,0.1097,Safe
4,5,PERCENT,Clyde Drexler,13.0,0.04,0.0265,Eliminated
4,5,PERCENT,Laila Ali,28.0,0.1531,0.111,Safe
4,5,PERCENT,Apolo Anton Ohno,30.0,0.13,0.0842,Safe
4,5,PERCENT,Heather Mills,21.0,0.1314,0.1025,Safe
4,5,PERCENT,Billy Ray Cyrus,17.0,0.1316,0.0872,Safe
4,5,PERCENT,Joey Fatone,25.0,0.1146,0.082,Safe
4,6,PERCENT,John Ratzenberger,19.0,0.1546,0.0799,Safe
4,6,PERCENT,Ian Ziering,24.0,0.1426,0.0841,Safe
4,6,PERCENT,Laila Ali,28.0,0.205,0.1547,Safe
4,6,PERCENT,Apolo Anton Ohno,28.0,0.1511,0.1001,Safe
4,6,PERCENT,Heather Mills,23.0,0.0264,0.0188,Eliminated
4,6,PERCENT,Billy Ray Cyrus,21.0,0.1467,0.0735,Safe
4,6,PERCENT,Joey Fatone,27.0,0.1737,0.1108,Safe
4,7,PERCENT,John Ratzenberger,22.5,0.0414,0.0285,Eliminated
4,7,PERCENT,Ian Ziering,27.0,0.2048,0.1274,Safe
4,7,PERCENT,Laila Ali,29.5,0.1176,0.0902,Safe
4,7,PERCENT,Apolo Anton Ohno,27.0,0.1973,0.1272,Safe
4,7,PERCENT,Billy Ray Cyrus,19.0,0.2335,0.1336,Safe
4,7,PERCENT,Joey Fatone,29.5,0.2054,0.1195,Safe
4,8,PERCENT,Ian Ziering,23.5,0.2527,0.1476,Safe
4,8,PERCENT,Laila Ali,26.5,0.1717,0.0907,Safe
4,8,PERCENT,Apolo Anton Ohno,29.0,0.3066,0.1647,Safe
4,8,PERCENT,Billy Ray Cyrus,19.0,0.0674,0.0458,Eliminated
4,8,PERCENT,Joey Fatone,27.5,0.2016,0.1155,Safe
4,9,PERCENT,Ian Ziering,29.0,0.0689,0.0471,Eliminated
4,9,PERCENT,Laila Ali,30.0,0.3351,0.1794,Safe
4,9,PERCENT,Apolo Anton Ohno,29.5,0.285,0.1579,Safe
4,9,PERCENT,Joey Fatone,30.0,0.3111,0.1365,Safe
4,10,PERCENT,Laila Ali,28.333200000000005,0.1384,0.0952,Eliminated
4,10,PERCENT,Apolo Anton Ohno,29.3332,0.3347,0.1346,Safe
4,10,PERCENT,Joey Fatone,28.6665,0.527,0.1747,Safe
5,1,PERCENT,Cameron Mathison,21.0,0.0981,0.0666,Safe
5,1,PERCENT,Jane Seymour,24.0,0.0872,0.0624,Safe
5,1,PERCENT,Sabrina Bryan,26.0,0.0758,0.052,Safe
5,1,PERCENT,Jennie Garth,21.0,0.0934,0.0629,Safe
5,1,PERCENT,Floyd Mayweather Jr. ,18.0,0.1074,0.0663,Safe
5,1,PERCENT,Josie Maran,16.0,0.0183,0.0118,Eliminated
5,1,PERCENT,Albert Reed,21.0,0.0829,0.0642,Safe
5,1,PERCENT,Helio Castroneves,25.0,0.0756,0.0565,Safe
5,1,PERCENT,Mel B,24.0,0.0835,0.0565,Safe
5,1,PERCENT,Wayne Newton,19.0,0.1166,0.0709,Safe
5,1,PERCENT,Marie Osmond,21.0,0.0886,0.0728,Safe
5,1,PERCENT,Mark Cuban,21.0,0.0725,0.052,Safe
5,2,PERCENT,Cameron Mathison,21.0,0.0944,0.0513,Safe
5,2,PERCENT,Jane Seymour,21.0,0.1188,0.0687,Safe
5,2,PERCENT,Sabrina Bryan,26.0,0.088,0.0691,Safe
5,2,PERCENT,Jennie Garth,21.0,0.0764,0.044,Safe
5,2,PERCENT,Floyd Mayweather Jr. ,21.0,0.1056,0.0692,Safe
5,2,PERCENT,Albert Reed,21.0,0.0136,0.0108,Eliminated
5,2,PERCENT,Helio Castroneves,27.0,0.0936,0.0606,Safe
5,2,PERCENT,Mel B,23.0,0.1142,0.0675,Safe
5,2,PERCENT,Wayne Newton,15.0,0.1052,0.0505,Safe
5,2,PERCENT,Marie Osmond,24.0,0.0795,0.044,Safe
5,2,PERCENT,Mark Cuban,18.0,0.1107,0.0563,Safe
5,3,PERCENT,Cameron Mathison,23.0,0.0839,0.0575,Safe
5,3,PERCENT,Jane Seymour,27.0,0.12,0.0892,Safe
5,3,PERCENT,Sabrina Bryan,27.0,0.1267,0.0904,Safe
5,3,PERCENT,Jennie Garth,26.0,0.1183,0.0801,Safe
5,3,PERCENT,Floyd Mayweather Jr. ,21.0,0.1046,0.0672,Safe
5,3,PERCENT,Helio Castroneves,24.0,0.1002,0.0817,Safe
5,3,PERCENT,Mel B,27.0,0.1037,0.0731,Safe
5,3,PERCENT,Wayne Newton,18.0,0.0216,0.0144,Eliminated
5,3,PERCENT,Marie Osmond,26.0,0.1068,0.0762,Safe
5,3,PERCENT,Mark Cuban,20.0,0.1142,0.0787,Safe
5,4,PERCENT,Cameron Mathison,27.0,0.1146,0.0846,Safe
5,4,PERCENT,Jane Seymour,26.0,0.1224,0.0742,Safe
5,4,PERCENT,Sabrina Bryan,30.0,0.119,0.0648,Safe
5,4,PERCENT,Jennie Garth,27.0,0.081,0.0595,Safe
5,4,PERCENT,Floyd Mayweather Jr. ,23.0,0.0206,0.0157,Eliminated
5,4,PERCENT,Helio Castroneves,27.0,0.1167,0.0768,Safe
5,4,PERCENT,Mel B,26.0,0.1282,0.0775,Safe
5,4,PERCENT,Marie Osmond,26.0,0.1594,0.0917,Safe
5,4,PERCENT,Mark Cuban,22.0,0.1382,0.0824,Safe
5,5,PERCENT,Cameron Mathison,26.0,0.1271,0.0906,Safe
5,5,PERCENT,Jane Seymour,26.0,0.1707,0.1039,Safe
5,5,PERCENT,Sabrina Bryan,28.0,0.1268,0.1047,Safe
5,5,PERCENT,Jennie Garth,25.0,0.1177,0.0841,Safe
5,5,PERCENT,Helio Castroneves,23.0,0.1689,0.0796,Safe
5,5,PERCENT,Mel B,29.0,0.1283,0.08,Safe
5,5,PERCENT,Marie Osmond,21.0,0.1315,0.0638,Safe
5,5,PERCENT,Mark Cuban,21.0,0.0291,0.0202,Eliminated
5,6,PERCENT,Cameron Mathison,25.0,0.2034,0.1186,Safe
5,6,PERCENT,Jane Seymour,22.0,0.1844,0.0877,Safe
5,6,PERCENT,Sabrina Bryan,25.0,0.0269,0.0208,Eliminated
5,6,PERCENT,Jennie Garth,27.0,0.1854,0.1226,Safe
5,6,PERCENT,Helio Castroneves,28.0,0.1427,0.0816,Safe
5,6,PERCENT,Mel B,30.0,0.1324,0.0896,Safe
5,6,PERCENT,Marie Osmond,23.0,0.1247,0.0761,Safe
5,7,PERCENT,Cameron Mathison,25.5,0.2247,0.1145,Safe
5,7,PERCENT,Jane Seymour,25.0,0.037,0.0265,Eliminated
5,7,PERCENT,Jennie Garth,26.5,0.206,0.1067,Safe
5,7,PERCENT,Helio Castroneves,26.0,0.1707,0.1282,Safe
5,7,PERCENT,Mel B,27.0,0.1969,0.125,Safe
5,7,PERCENT,Marie Osmond,26.0,0.1648,0.0974,Safe
5,8,PERCENT,Cameron Mathison,25.5,0.0413,0.0294,Eliminated
5,8,PERCENT,Jennie Garth,25.0,0.3149,0.1707,Safe
5,8,PERCENT,Helio Castroneves,28.5,0.1805,0.1026,Safe
5,8,PERCENT,Mel B,28.0,0.2622,0.1595,Safe
5,8,PERCENT,Marie Osmond,24.5,0.2012,0.1191,Safe
5,9,PERCENT,Jennie Garth,29.0,0.0687,0.0504,Eliminated
5,9,PERCENT,Helio Castroneves,30.0,0.2961,0.189,Safe
5,9,PERCENT,Mel B,30.0,0.4084,0.2009,Safe
5,9,PERCENT,Marie Osmond,28.0,0.2268,0.1264,Safe
5,10,PERCENT,Helio Castroneves,27.999900000000004,0.4538,0.2208,Safe
5,10,PERCENT,Mel B,28.333199999999998,0.409,0.199,Safe
5,10,PERCENT,Marie Osmond,23.0,0.1373,0.086,Eliminated
6,1,PERCENT,Cristian de la Fuente,21.0,0.0983,0.0701,Safe
6,1,PERCENT,Steve Guttenberg,18.0,0.0925,0.0673,Safe
6,1,PERCENT,Priscilla Presley,24.0,0.0839,0.0625,Safe
6,1,PERCENT,Marlee Matlin,22.0,0.0881,0.0685,Safe
6,1,PERCENT,Shannon Elizabeth,21.0,0.0818,0.0645,Safe
6,1,PERCENT,Marissa Jaret Winokur,18.0,0.0841,0.0635,Safe
6,1,PERCENT,Jason Taylor,22.0,0.0841,0.0654,Safe
6,1,PERCENT,Kristi Yamaguchi,27.0,0.0737,0.0543,Safe
6,1,PERCENT,Monica Seles,15.0,0.0804,0.0558,Safe
6,1,PERCENT,Penn Jillette,16.0,0.0713,0.0537,Safe
6,1,PERCENT,Adam Carolla,15.0,0.0863,0.0644,Safe
6,1,PERCENT,Mario,24.0,0.0756,0.0607,Safe
6,2,PERCENT,Cristian de la Fuente,20.0,0.096,0.0636,Safe
6,2,PERCENT,Steve Guttenberg,16.0,0.1021,0.0666,Safe
6,2,PERCENT,Priscilla Presley,21.0,0.074,0.05,Safe
6,2,PERCENT,Marlee Matlin,24.0,0.0995,0.0672,Safe
6,2,PERCENT,Shannon Elizabeth,24.0,0.0805,0.058,Safe
6,2,PERCENT,Marissa Jaret Winokur,21.0,0.1032,0.0668,Safe
6,2,PERCENT,Jason Taylor,27.0,0.0783,0.0595,Safe
6,2,PERCENT,Kristi Yamaguchi,27.0,0.081,0.0513,Safe
6,2,PERCENT,Monica Seles,15.0,0.0852,0.0475,Safe
6,2,PERCENT,Penn Jillette,17.0,0.0149,0.0115,Eliminated
6,2,PERCENT,Adam Carolla,19.0,0.0869,0.0536,Safe
6,2,PERCENT,Mario,26.0,0.0985,0.0761,Safe
6,3,PERCENT,Cristian de la Fuente,25.0,0.1087,0.0735,Safe
6,3,PERCENT,Steve Guttenberg,21.0,0.0172,0.0133,Eliminated
6,3,PERCENT,Priscilla Presley,26.0,0.0806,0.055,Safe
6,3,PERCENT,Marlee Matlin,21.0,0.0989,0.0609,Safe
6,3,PERCENT,Shannon Elizabeth,24.0,0.1378,0.0773,Safe
6,3,PERCENT,Marissa Jaret Winokur,19.0,0.1191,0.072,Safe
6,3,PERCENT,Jason Taylor,23.0,0.1087,0.0623,Safe
6,3,PERCENT,Kristi Yamaguchi,27.0,0.0821,0.0614,Safe
6,3,PERCENT,Adam Carolla,21.0,0.1208,0.076,Safe
6,3,PERCENT,Mario,21.0,0.126,0.0628,Safe
6,4,PERCENT,Cristian de la Fuente,26.0,0.1263,0.1039,Safe
6,4,PERCENT,Priscilla Presley,22.0,0.1229,0.073,Safe
6,4,PERCENT,Marlee Matlin,24.0,0.1113,0.0771,Safe
6,4,PERCENT,Shannon Elizabeth,28.0,0.133,0.1058,Safe
6,4,PERCENT,Marissa Jaret Winokur,24.0,0.1176,0.0802,Safe
6,4,PERCENT,Jason Taylor,29.0,0.1118,0.0671,Safe
6,4,PERCENT,Kristi Yamaguchi,29.0,0.1327,0.0928,Safe
6,4,PERCENT,Adam Carolla,19.0,0.0279,0.0194,Eliminated
6,4,PERCENT,Mario,24.0,0.1166,0.0837,Safe
6,5,PERCENT,Cristian de la Fuente,23.0,0.1458,0.0919,Safe
6,5,PERCENT,Priscilla Presley,21.0,0.0278,0.0188,Eliminated
6,5,PERCENT,Marlee Matlin,22.0,0.1403,0.0825,Safe
6,5,PERCENT,Shannon Elizabeth,23.0,0.1418,0.0768,Safe
6,5,PERCENT,Marissa Jaret Winokur,24.0,0.1524,0.1017,Safe
6,5,PERCENT,Jason Taylor,27.0,0.1179,0.0897,Safe
6,5,PERCENT,Kristi Yamaguchi,29.0,0.1376,0.1106,Safe
6,5,PERCENT,Mario,27.0,0.1364,0.0994,Safe
6,6,PERCENT,Cristian de la Fuente,27.0,0.1768,0.1121,Safe
6,6,PERCENT,Marlee Matlin,21.0,0.0411,0.0269,Eliminated
6,6,PERCENT,Shannon Elizabeth,24.0,0.2056,0.107,Safe
6,6,PERCENT,Marissa Jaret Winokur,26.0,0.1385,0.0993,Safe
6,6,PERCENT,Jason Taylor,24.0,0.1855,0.113,Safe
6,6,PERCENT,Kristi Yamaguchi,30.0,0.1134,0.0712,Safe
6,6,PERCENT,Mario,28.0,0.139,0.0932,Safe
6,7,PERCENT,Cristian de la Fuente,23.0,0.2223,0.1256,Safe
6,7,PERCENT,Shannon Elizabeth,25.5,0.0335,0.0262,Eliminated
6,7,PERCENT,Marissa Jaret Winokur,26.0,0.2066,0.1214,Safe
6,7,PERCENT,Jason Taylor,27.5,0.168,0.1088,Safe
6,7,PERCENT,Kristi Yamaguchi,27.0,0.2184,0.1238,Safe
6,7,PERCENT,Mario,25.5,0.1511,0.0813,Safe
6,8,PERCENT,Cristian de la Fuente,28.5,0.1834,0.1134,Safe
6,8,PERCENT,Marissa Jaret Winokur,25.0,0.2231,0.1181,Safe
6,8,PERCENT,Jason Taylor,26.0,0.3597,0.1721,Safe
6,8,PERCENT,Kristi Yamaguchi,27.5,0.1873,0.098,Safe
6,8,PERCENT,Mario,26.5,0.0465,0.0337,Eliminated
6,9,PERCENT,Cristian de la Fuente,28.0,0.2616,0.1354,Safe
6,9,PERCENT,Marissa Jaret Winokur,26.0,0.0672,0.0466,Eliminated
6,9,PERCENT,Jason Taylor,27.5,0.3541,0.1652,Safe
6,9,PERCENT,Kristi Yamaguchi,28.5,0.3171,0.192,Safe
6,10,PERCENT,Cristian de la Fuente,26.0,0.4828,0.1721,Safe
6,10,PERCENT,Jason Taylor,28.5,0.1128,0.0702,Eliminated
6,10,PERCENT,Kristi Yamaguchi,30.0,0.4044,0.1778,Safe
7,1,PERCENT,Ted McGinley,18.5,0.0093,0.0079,Eliminated
7,1,PERCENT,Cloris Leachman,16.0,0.0916,0.0462,Safe
7,1,PERCENT,Susan Lucci,18.5,0.0679,0.0387,Safe
7,1,PERCENT,Cody Linley,20.5,0.0917,0.0574,Safe
7,1,PERCENT,Misty May-Treanor,21.0,0.0794,0.0627,Safe
7,1,PERCENT,Maurice Greene,19.5,0.083,0.0662,Safe
7,1,PERCENT,Warren Sapp,21.5,0.0713,0.0532,Safe
7,1,PERCENT,Jeffrey Ross,12.0,0.0946,0.0555,Safe
7,1,PERCENT,Toni Braxton,22.5,0.0699,0.062,Safe
7,1,PERCENT,Lance Bass,21.5,0.0985,0.0621,Safe
7,1,PERCENT,Kim Kardashian,18.5,0.0916,0.0648,Safe
7,1,PERCENT,Rocco DiSpirito,17.5,0.069,0.0453,Safe
7,1,PERCENT,Brooke Burke,24.5,0.0823,0.0583,Safe
7,2,PERCENT,Cloris Leachman,15.0,0.1177,0.0637,Safe
