Season,Week,Rule_Used,Contestant,Judge_Score,Est_Fan_Vote,Uncertainty,Actual_Status,Prediction_Match
3,2,PERCENT,Joey Lawrence,29.0,0.1023,0.0706,Safe,True
3,2,PERCENT,Mario Lopez,21.0,0.124,0.0623,Safe,True
3,2,PERCENT,Emmitt Smith,24.0,0.0875,0.0625,Safe,True
3,2,PERCENT,Shanna Moakler,22.0,0.0164,0.0125,Eliminated,True
3,2,PERCENT,Willa Ford,23.0,0.1058,0.0724,Safe,True
3,2,PERCENT,Sara Evans,21.0,0.1144,0.0661,Safe,True
3,2,PERCENT,Jerry Springer,19.0,0.1159,0.0552,Safe,True
3,3,PERCENT,Harry Hamlin,22.0,0.0182,0.0145,Eliminated,True
3,3,PERCENT,Vivica A. Fox,27.0,0.0953,0.0629,Safe,True
3,3,PERCENT,Monique Coleman,27.0,0.1186,0.0896,Safe,True
3,3,PERCENT,Joey Lawrence,22.0,0.1159,0.0832,Safe,True
3,3,PERCENT,Mario Lopez,22.0,0.1349,0.0663,Safe,True
3,3,PERCENT,Emmitt Smith,19.0,0.135,0.092,Safe,True
3,3,PERCENT,Willa Ford,22.0,0.1298,0.0868,Safe,True
3,3,PERCENT,Sara Evans,25.0,0.1257,0.0848,Safe,True
3,3,PERCENT,Jerry Springer,21.0,0.1266,0.0618,Safe,True
3,4,PERCENT,Vivica A. Fox,24.0,0.0225,0.0177,Eliminated,True
3,4,PERCENT,Monique Coleman,24.0,0.1116,0.0724,Safe,True
3,4,PERCENT,Joey Lawrence,27.0,0.1407,0.0956,Safe,True
3,4,PERCENT,Mario Lopez,29.0,0.0814,0.0629,Safe,True
3,4,PERCENT,Emmitt Smith,24.0,0.1767,0.0896,Safe,True
3,4,PERCENT,Willa Ford,28.0,0.1297,0.084,Safe,True
3,4,PERCENT,Sara Evans,20.0,0.165,0.0952,Safe,True
3,4,PERCENT,Jerry Springer,22.0,0.1724,0.0934,Safe,True
3,5,PERCENT,Monique Coleman,27.0,0.1249,0.0785,Safe,True
3,5,PERCENT,Joey Lawrence,25.0,0.1663,0.0862,Safe,True
3,5,PERCENT,Mario Lopez,27.0,0.1414,0.0945,Safe,True
3,5,PERCENT,Emmitt Smith,27.0,0.2133,0.1256,Safe,True
3,5,PERCENT,Willa Ford,27.0,0.0239,0.0197,Eliminated,True
3,5,PERCENT,Sara Evans,24.0,0.1761,0.0855,Safe,True
3,5,PERCENT,Jerry Springer,24.0,0.1541,0.0978,Safe,True
3,7,PERCENT,Monique Coleman,27.0,0.2685,0.1233,Safe,True
3,7,PERCENT,Joey Lawrence,28.5,0.2101,0.1162,Safe,True
3,7,PERCENT,Mario Lopez,28.0,0.2294,0.1249,Safe,True
3,7,PERCENT,Emmitt Smith,28.5,0.2329,0.1729,Safe,True
3,7,PERCENT,Jerry Springer,23.0,0.059,0.0384,Eliminated,True
3,8,PERCENT,Monique Coleman,26.5,0.0601,0.0461,Eliminated,True
3,8,PERCENT,Joey Lawrence,27.0,0.4275,0.2141,Safe,True
3,8,PERCENT,Mario Lopez,28.5,0.2822,0.1344,Safe,True
3,8,PERCENT,Emmitt Smith,27.0,0.2302,0.1719,Safe,True
4,2,PERCENT,John Ratzenberger,21.0,0.1084,0.0685,Safe,True
4,2,PERCENT,Ian Ziering,22.0,0.0888,0.0587,Safe,True
4,2,PERCENT,Clyde Drexler,18.0,0.1164,0.0605,Safe,True
4,2,PERCENT,Laila Ali,27.0,0.0706,0.0521,Safe,True
4,2,PERCENT,Apolo Anton Ohno,26.0,0.094,0.0738,Safe,True
4,2,PERCENT,Shandi Finnessey,20.0,0.1091,0.0775,Safe,True
4,2,PERCENT,Paulina Porizkova,21.0,0.0127,0.0098,Eliminated,True
4,2,PERCENT,Heather Mills,24.0,0.1315,0.08,Safe,True
4,2,PERCENT,Billy Ray Cyrus,21.0,0.0825,0.0653,Safe,True
4,2,PERCENT,Joey Fatone,24.0,0.0904,0.0659,Safe,True
4,2,PERCENT,Leeza Gibbons,21.0,0.0954,0.0558,Safe,True
4,3,PERCENT,John Ratzenberger,20.0,0.1316,0.0754,Safe,True
4,3,PERCENT,Ian Ziering,24.0,0.1197,0.0754,Safe,True
4,3,PERCENT,Clyde Drexler,16.0,0.1228,0.062,Safe,True
4,3,PERCENT,Laila Ali,21.0,0.1222,0.0724,Safe,True
4,3,PERCENT,Apolo Anton Ohno,23.0,0.0872,0.0541,Safe,True
4,3,PERCENT,Shandi Finnessey,21.0,0.0165,0.0129,Eliminated,True
4,3,PERCENT,Heather Mills,24.0,0.0976,0.0675,Safe,True
4,3,PERCENT,Billy Ray Cyrus,21.0,0.1093,0.0613,Safe,True
4,3,PERCENT,Joey Fatone,24.0,0.1043,0.0671,Safe,True
4,3,PERCENT,Leeza Gibbons,24.0,0.0888,0.0572,Safe,True
4,4,PERCENT,John Ratzenberger,16.0,0.1263,0.0802,Safe,True
4,4,PERCENT,Ian Ziering,24.0,0.0971,0.0628,Safe,True
4,4,PERCENT,Clyde Drexler,15.0,0.1502,0.0862,Safe,True
4,4,PERCENT,Laila Ali,21.0,0.1267,0.0743,Safe,True
4,4,PERCENT,Apolo Anton Ohno,26.0,0.0915,0.0698,Safe,True
4,4,PERCENT,Heather Mills,23.0,0.1258,0.0968,Safe,True
4,4,PERCENT,Billy Ray Cyrus,21.0,0.1368,0.0762,Safe,True
4,4,PERCENT,Joey Fatone,28.0,0.1166,0.0836,Safe,True
4,4,PERCENT,Leeza Gibbons,16.0,0.0291,0.0198,Eliminated,True
4,5,PERCENT,John Ratzenberger,18.0,0.1298,0.0802,Safe,True
4,5,PERCENT,Ian Ziering,24.0,0.1321,0.0929,Safe,True
4,5,PERCENT,Clyde Drexler,13.0,0.0373,0.0254,Eliminated,True
4,5,PERCENT,Laila Ali,28.0,0.1265,0.0909,Safe,True
4,5,PERCENT,Apolo Anton Ohno,30.0,0.1563,0.1067,Safe,True
4,5,PERCENT,Heather Mills,21.0,0.139,0.0939,Safe,True
4,5,PERCENT,Billy Ray Cyrus,17.0,0.1325,0.089,Safe,True
4,5,PERCENT,Joey Fatone,25.0,0.1465,0.0967,Safe,True
4,6,PERCENT,John Ratzenberger,19.0,0.1738,0.0832,Safe,True
4,6,PERCENT,Ian Ziering,24.0,0.1737,0.0944,Safe,True
4,6,PERCENT,Laila Ali,28.0,0.1723,0.1224,Safe,True
4,6,PERCENT,Apolo Anton Ohno,28.0,0.116,0.0923,Safe,True
4,6,PERCENT,Heather Mills,23.0,0.0262,0.02,Eliminated,True
4,6,PERCENT,Billy Ray Cyrus,21.0,0.1916,0.1291,Safe,True
4,6,PERCENT,Joey Fatone,27.0,0.1464,0.0975,Safe,True
4,7,PERCENT,John Ratzenberger,22.5,0.0401,0.0287,Eliminated,True
4,7,PERCENT,Ian Ziering,27.0,0.2273,0.1372,Safe,True
4,7,PERCENT,Laila Ali,29.5,0.142,0.1072,Safe,True
4,7,PERCENT,Apolo Anton Ohno,27.0,0.2197,0.1351,Safe,True
4,7,PERCENT,Billy Ray Cyrus,19.0,0.2037,0.134,Safe,True
4,7,PERCENT,Joey Fatone,29.5,0.1672,0.1007,Safe,True
4,8,PERCENT,Ian Ziering,23.5,0.2429,0.1459,Safe,True
4,8,PERCENT,Laila Ali,26.5,0.1991,0.1225,Safe,True
4,8,PERCENT,Apolo Anton Ohno,29.0,0.1827,0.1433,Safe,True
4,8,PERCENT,Billy Ray Cyrus,19.0,0.0595,0.0398,Eliminated,True
4,8,PERCENT,Joey Fatone,27.5,0.3158,0.1994,Safe,True
4,9,PERCENT,Ian Ziering,29.0,0.0762,0.0545,Eliminated,True
4,9,PERCENT,Laila Ali,30.0,0.3235,0.1405,Safe,True
4,9,PERCENT,Apolo Anton Ohno,29.5,0.2658,0.1102,Safe,True
4,9,PERCENT,Joey Fatone,30.0,0.3345,0.1894,Safe,True
5,1,PERCENT,Cameron Mathison,21.0,0.0961,0.0638,Safe,True
5,1,PERCENT,Jane Seymour,24.0,0.0854,0.0643,Safe,True
5,1,PERCENT,Sabrina Bryan,26.0,0.0899,0.0679,Safe,True
5,1,PERCENT,Jennie Garth,21.0,0.0949,0.07,Safe,True
5,1,PERCENT,Floyd Mayweather Jr. ,18.0,0.0759,0.052,Safe,True
5,1,PERCENT,Josie Maran,16.0,0.0179,0.0128,Eliminated,True
5,1,PERCENT,Albert Reed,21.0,0.0965,0.0649,Safe,True
5,1,PERCENT,Helio Castroneves,25.0,0.0804,0.0594,Safe,True
5,1,PERCENT,Mel B,24.0,0.0814,0.0649,Safe,True
5,1,PERCENT,Wayne Newton,19.0,0.0848,0.0514,Safe,True
5,1,PERCENT,Marie Osmond,21.0,0.1167,0.0703,Safe,True
5,1,PERCENT,Mark Cuban,21.0,0.0803,0.0615,Safe,True
5,2,PERCENT,Cameron Mathison,21.0,0.1104,0.059,Safe,True
5,2,PERCENT,Jane Seymour,21.0,0.0874,0.0516,Safe,True
5,2,PERCENT,Sabrina Bryan,26.0,0.0825,0.0532,Safe,True
5,2,PERCENT,Jennie Garth,21.0,0.1069,0.0619,Safe,True
5,2,PERCENT,Floyd Mayweather Jr. ,21.0,0.1,0.0604,Safe,True
5,2,PERCENT,Albert Reed,21.0,0.0141,0.0113,Eliminated,True
5,2,PERCENT,Helio Castroneves,27.0,0.1025,0.0564,Safe,True
5,2,PERCENT,Mel B,23.0,0.0819,0.056,Safe,True
5,2,PERCENT,Wayne Newton,15.0,0.1222,0.0602,Safe,True
5,2,PERCENT,Marie Osmond,24.0,0.0865,0.0612,Safe,True
5,2,PERCENT,Mark Cuban,18.0,0.1056,0.0543,Safe,True
5,3,PERCENT,Cameron Mathison,23.0,0.0894,0.0557,Safe,True
5,3,PERCENT,Jane Seymour,27.0,0.1118,0.0796,Safe,True
5,3,PERCENT,Sabrina Bryan,27.0,0.0985,0.068,Safe,True
5,3,PERCENT,Jennie Garth,26.0,0.1284,0.0839,Safe,True
5,3,PERCENT,Floyd Mayweather Jr. ,21.0,0.1142,0.0779,Safe,True
5,3,PERCENT,Helio Castroneves,24.0,0.1207,0.08,Safe,True
5,3,PERCENT,Mel B,27.0,0.0751,0.0599,Safe,True
5,3,PERCENT,Wayne Newton,18.0,0.0231,0.0155,Eliminated,True
5,3,PERCENT,Marie Osmond,26.0,0.1156,0.0699,Safe,True
5,3,PERCENT,Mark Cuban,20.0,0.1231,0.073,Safe,True
5,4,PERCENT,Cameron Mathison,27.0,0.1507,0.1082,Safe,True
5,4,PERCENT,Jane Seymour,26.0,0.1017,0.0701,Safe,True
5,4,PERCENT,Sabrina Bryan,30.0,0.0823,0.0591,Safe,True
5,4,PERCENT,Jennie Garth,27.0,0.1761,0.0953,Safe,True
5,4,PERCENT,Floyd Mayweather Jr. ,23.0,0.0195,0.014,Eliminated,True
5,4,PERCENT,Helio Castroneves,27.0,0.152,0.1032,Safe,True
5,4,PERCENT,Mel B,26.0,0.111,0.0707,Safe,True
5,4,PERCENT,Marie Osmond,26.0,0.0843,0.0638,Safe,True
5,4,PERCENT,Mark Cuban,22.0,0.1225,0.0714,Safe,True
5,5,PERCENT,Cameron Mathison,26.0,0.1348,0.0929,Safe,True
5,5,PERCENT,Jane Seymour,26.0,0.1291,0.0877,Safe,True
5,5,PERCENT,Sabrina Bryan,28.0,0.1271,0.0969,Safe,True
5,5,PERCENT,Jennie Garth,25.0,0.121,0.1009,Safe,True
5,5,PERCENT,Helio Castroneves,23.0,0.1361,0.1017,Safe,True
5,5,PERCENT,Mel B,29.0,0.1728,0.0964,Safe,True
5,5,PERCENT,Marie Osmond,21.0,0.1539,0.0864,Safe,True
5,5,PERCENT,Mark Cuban,21.0,0.0251,0.0179,Eliminated,True
5,6,PERCENT,Cameron Mathison,25.0,0.1784,0.0923,Safe,True
5,6,PERCENT,Jane Seymour,22.0,0.1641,0.0898,Safe,True
5,6,PERCENT,Sabrina Bryan,25.0,0.0279,0.0208,Eliminated,True
5,6,PERCENT,Jennie Garth,27.0,0.1597,0.1156,Safe,True
5,6,PERCENT,Helio Castroneves,28.0,0.1326,0.0821,Safe,True
5,6,PERCENT,Mel B,30.0,0.1665,0.085,Safe,True
5,6,PERCENT,Marie Osmond,23.0,0.1709,0.0852,Safe,True
5,7,PERCENT,Cameron Mathison,25.5,0.2179,0.1267,Safe,True
5,7,PERCENT,Jane Seymour,25.0,0.0371,0.0273,Eliminated,True
5,7,PERCENT,Jennie Garth,26.5,0.2208,0.119,Safe,True
5,7,PERCENT,Helio Castroneves,26.0,0.1824,0.1013,Safe,True
5,7,PERCENT,Mel B,27.0,0.1628,0.1171,Safe,True
5,7,PERCENT,Marie Osmond,26.0,0.1791,0.1048,Safe,True
5,8,PERCENT,Cameron Mathison,25.5,0.0493,0.0349,Eliminated,True
5,8,PERCENT,Jennie Garth,25.0,0.2667,0.1295,Safe,True
5,8,PERCENT,Helio Castroneves,28.5,0.2697,0.1155,Safe,True
5,8,PERCENT,Mel B,28.0,0.1883,0.1094,Safe,True
5,8,PERCENT,Marie Osmond,24.5,0.226,0.1175,Safe,True
5,9,PERCENT,Jennie Garth,29.0,0.0697,0.0496,Eliminated,True
5,9,PERCENT,Helio Castroneves,30.0,0.3019,0.1683,Safe,True
5,9,PERCENT,Mel B,30.0,0.2442,0.0929,Safe,True
5,9,PERCENT,Marie Osmond,28.0,0.3842,0.158,Safe,True
6,2,PERCENT,Cristian de la Fuente,20.0,0.0879,0.0541,Safe,True
6,2,PERCENT,Steve Guttenberg,16.0,0.1128,0.068,Safe,True
6,2,PERCENT,Priscilla Presley,21.0,0.098,0.0648,Safe,True
6,2,PERCENT,Marlee Matlin,24.0,0.0774,0.0554,Safe,True
6,2,PERCENT,Shannon Elizabeth,24.0,0.0821,0.0559,Safe,True
6,2,PERCENT,Marissa Jaret Winokur,21.0,0.0955,0.0622,Safe,True
6,2,PERCENT,Jason Taylor,27.0,0.086,0.0578,Safe,True
6,2,PERCENT,Kristi Yamaguchi,27.0,0.0791,0.0618,Safe,True
6,2,PERCENT,Monica Seles,15.0,0.0191,0.0133,Eliminated,True
6,2,PERCENT,Penn Jillette,17.0,0.0834,0.059,Safe,True
6,2,PERCENT,Adam Carolla,19.0,0.0876,0.0534,Safe,True
6,2,PERCENT,Mario,26.0,0.0911,0.0633,Safe,True
6,3,PERCENT,Cristian de la Fuente,25.0,0.1102,0.0763,Safe,True
6,3,PERCENT,Steve Guttenberg,21.0,0.015,0.0113,Eliminated,True
6,3,PERCENT,Priscilla Presley,26.0,0.1046,0.0825,Safe,True
6,3,PERCENT,Marlee Matlin,21.0,0.1186,0.0764,Safe,True
6,3,PERCENT,Shannon Elizabeth,24.0,0.0972,0.055,Safe,True
6,3,PERCENT,Marissa Jaret Winokur,19.0,0.1144,0.0656,Safe,True
6,3,PERCENT,Jason Taylor,23.0,0.0941,0.0576,Safe,True
6,3,PERCENT,Kristi Yamaguchi,27.0,0.1222,0.0758,Safe,True
6,3,PERCENT,Adam Carolla,21.0,0.1229,0.0846,Safe,True
6,3,PERCENT,Mario,21.0,0.1008,0.0636,Safe,True
6,4,PERCENT,Cristian de la Fuente,26.0,0.1229,0.0939,Safe,True
6,4,PERCENT,Priscilla Presley,22.0,0.1188,0.0898,Safe,True
6,4,PERCENT,Marlee Matlin,24.0,0.124,0.0922,Safe,True
6,4,PERCENT,Shannon Elizabeth,28.0,0.1564,0.1166,Safe,True
6,4,PERCENT,Marissa Jaret Winokur,24.0,0.1279,0.0868,Safe,True
6,4,PERCENT,Jason Taylor,29.0,0.0999,0.0843,Safe,True
6,4,PERCENT,Kristi Yamaguchi,29.0,0.1192,0.0839,Safe,True
6,4,PERCENT,Adam Carolla,19.0,0.0254,0.0172,Eliminated,True
6,4,PERCENT,Mario,24.0,0.1055,0.0753,Safe,True
6,5,PERCENT,Cristian de la Fuente,23.0,0.1321,0.0846,Safe,True
6,5,PERCENT,Priscilla Presley,21.0,0.0261,0.0202,Eliminated,True
6,5,PERCENT,Marlee Matlin,22.0,0.1271,0.0789,Safe,True
6,5,PERCENT,Shannon Elizabeth,23.0,0.1517,0.0797,Safe,True
6,5,PERCENT,Marissa Jaret Winokur,24.0,0.1322,0.0779,Safe,True
6,5,PERCENT,Jason Taylor,27.0,0.1469,0.0874,Safe,True
6,5,PERCENT,Kristi Yamaguchi,29.0,0.1351,0.0967,Safe,True
6,5,PERCENT,Mario,27.0,0.1488,0.1226,Safe,True
6,6,PERCENT,Cristian de la Fuente,27.0,0.1562,0.0865,Safe,True
6,6,PERCENT,Marlee Matlin,21.0,0.0362,0.0249,Eliminated,True
6,6,PERCENT,Shannon Elizabeth,24.0,0.206,0.1333,Safe,True
6,6,PERCENT,Marissa Jaret Winokur,26.0,0.1538,0.0956,Safe,True
6,6,PERCENT,Jason Taylor,24.0,0.1692,0.1166,Safe,True
6,6,PERCENT,Kristi Yamaguchi,30.0,0.1274,0.0907,Safe,True
6,6,PERCENT,Mario,28.0,0.1511,0.0899,Safe,True
6,7,PERCENT,Cristian de la Fuente,23.0,0.2148,0.1202,Safe,True
6,7,PERCENT,Shannon Elizabeth,25.5,0.0302,0.0218,Eliminated,True
6,7,PERCENT,Marissa Jaret Winokur,26.0,0.2179,0.1426,Safe,True
6,7,PERCENT,Jason Taylor,27.5,0.1649,0.0988,Safe,True
6,7,PERCENT,Kristi Yamaguchi,27.0,0.1799,0.1344,Safe,True
6,7,PERCENT,Mario,25.5,0.1923,0.115,Safe,True
6,8,PERCENT,Cristian de la Fuente,28.5,0.1889,0.0985,Safe,True
6,8,PERCENT,Marissa Jaret Winokur,25.0,0.2475,0.1249,Safe,True
6,8,PERCENT,Jason Taylor,26.0,0.2432,0.1278,Safe,True
6,8,PERCENT,Kristi Yamaguchi,27.5,0.2734,0.13,Safe,True
6,8,PERCENT,Mario,26.5,0.0471,0.0355,Eliminated,True
6,9,PERCENT,Cristian de la Fuente,28.0,0.3605,0.1815,Safe,True
6,9,PERCENT,Marissa Jaret Winokur,26.0,0.0995,0.062,Eliminated,True
6,9,PERCENT,Jason Taylor,27.5,0.2482,0.1048,Safe,True
6,9,PERCENT,Kristi Yamaguchi,28.5,0.2918,0.1251,Safe,True
7,1,PERCENT,Ted McGinley,18.5,0.0098,0.0073,Eliminated,True
7,1,PERCENT,Cloris Leachman,16.0,0.084,0.0504,Safe,True
7,1,PERCENT,Susan Lucci,18.5,0.0927,0.0611,Safe,True
7,1,PERCENT,Cody Linley,20.5,0.0895,0.064,Safe,True
7,1,PERCENT,Misty May-Treanor,21.0,0.0786,0.052,Safe,True
7,1,PERCENT,Maurice Greene,19.5,0.0828,0.0522,Safe,True
7,1,PERCENT,Warren Sapp,21.5,0.0589,0.0443,Safe,True
7,1,PERCENT,Jeffrey Ross,12.0,0.1006,0.0404,Safe,True
7,1,PERCENT,Toni Braxton,22.5,0.0628,0.0478,Safe,True
7,1,PERCENT,Lance Bass,21.5,0.07,0.0435,Safe,True
7,1,PERCENT,Kim Kardashian,18.5,0.0861,0.0538,Safe,True
7,1,PERCENT,Rocco DiSpirito,17.5,0.1012,0.0542,Safe,True
7,1,PERCENT,Brooke Burke,24.5,0.083,0.0568,Safe,True
7,2,PERCENT,Cloris Leachman,15.0,0.1279,0.0688,Safe,True
7,2,PERCENT,Susan Lucci,21.0,0.0893,0.0553,Safe,True
7,2,PERCENT,Cody Linley,21.0,0.0933,0.0675,Safe,True
7,2,PERCENT,Misty May-Treanor,21.0,0.0879,0.0758,Safe,True
7,2,PERCENT,Maurice Greene,19.0,0.1118,0.071,Safe,True
7,2,PERCENT,Warren Sapp,24.0,0.0953,0.0715,Safe,True
7,2,PERCENT,Toni Braxton,23.0,0.1022,0.0665,Safe,True
7,2,PERCENT,Lance Bass,20.0,0.0943,0.0597,Safe,True
7,2,PERCENT,Kim Kardashian,17.0,0.016,0.0119,Eliminated,True
7,2,PERCENT,Rocco DiSpirito,16.0,0.0849,0.0529,Safe,True
7,2,PERCENT,Brooke Burke,24.0,0.0972,0.0613,Safe,True
7,4,PERCENT,Cloris Leachman,22.0,0.1318,0.09,Safe,True
7,4,PERCENT,Susan Lucci,24.0,0.1254,0.0735,Safe,True
7,4,PERCENT,Cody Linley,23.0,0.1166,0.0804,Safe,True
7,4,PERCENT,Maurice Greene,20.0,0.1493,0.0946,Safe,True
7,4,PERCENT,Warren Sapp,22.0,0.0963,0.0633,Safe,True
7,4,PERCENT,Toni Braxton,22.0,0.1225,0.0929,Safe,True
7,4,PERCENT,Lance Bass,26.0,0.1147,0.0805,Safe,True
7,4,PERCENT,Rocco DiSpirito,18.0,0.0265,0.0187,Eliminated,True
7,4,PERCENT,Brooke Burke,26.0,0.1168,0.0752,Safe,True
7,5,PERCENT,Cloris Leachman,21.0,0.1716,0.0945,Safe,True
7,5,PERCENT,Susan Lucci,22.0,0.1224,0.0744,Safe,True
7,5,PERCENT,Cody Linley,28.0,0.1448,0.0912,Safe,True
7,5,PERCENT,Maurice Greene,27.0,0.1402,0.1186,Safe,True
7,5,PERCENT,Warren Sapp,25.0,0.1242,0.0903,Safe,True
7,5,PERCENT,Toni Braxton,22.0,0.0255,0.0178,Eliminated,True
7,5,PERCENT,Lance Bass,21.0,0.1272,0.0681,Safe,True
7,5,PERCENT,Brooke Burke,29.0,0.1441,0.1058,Safe,True
7,6,PERCENT,Cloris Leachman,15.0,0.0434,0.0289,Eliminated,True
7,6,PERCENT,Susan Lucci,23.0,0.198,0.1078,Safe,True
7,6,PERCENT,Cody Linley,23.0,0.1408,0.0971,Safe,True
7,6,PERCENT,Maurice Greene,21.0,0.1329,0.0897,Safe,True
7,6,PERCENT,Warren Sapp,25.0,0.1811,0.1099,Safe,True
7,6,PERCENT,Lance Bass,27.0,0.1601,0.1051,Safe,True
7,6,PERCENT,Brooke Burke,26.0,0.1437,0.0995,Safe,True
7,7,PERCENT,Susan Lucci,24.0,0.0353,0.027,Eliminated,True
7,7,PERCENT,Cody Linley,22.0,0.2079,0.1126,Safe,True
